tick,node_id,Helmet_ID,Temp_C,Humidity_Percent,CH4_ppm,H2S_ppm,CO_ppm,VOC_ppm,Pressure_hPa,Mud_Level_cm,Mud_Viscosity_Index,Mud_Salinity_uS_cm,Accel_Z_g,Light_lux,Impact_N,Fluid_Level_cm,node_online
28,C,HM-C305,38.199,54.573,2.782,0.0201,3.388,206.369,1011.562,13.447,6.579,981.898,1.0157,16.442,0.55,11.42,1
28,D,HM-D118,36.839,45.45,2.898,0.0262,3.526,201.657,1011.675,14.78,7.208,984.27,0.9886,26.599,0.56,12.86,1
28,E,HM-E441,36.133,58.598,2.712,0.0264,4.099,212.565,1012.556,12.203,7.171,933.143,0.9322,26.1,1.031,12.611,1
28,F,HM-F087,37.234,53.308,2.202,0.0188,4.301,187.861,1013.257,13.599,8.014,941.576,1.0827,32.678,1.597,12.217,1
29,A,HM-A104,35.815,62.054,3.005,0.0206,3.528,236.045,1013.182,16.336,7.291,1012.897,0.9892,24.895,0.928,13.447,1
29,B,HM-B210,35.758,51.665,3.252,0.0278,3.539,220.82,1013.043,13.806,7.201,922.234,0.9378,15.0,1.409,11.766,1
29,C,HM-C305,34.02,46.14,2.836,0.027,3.777,225.309,1013.461,13.543,7.199,1001.498,0.9928,28.541,1.128,12.627,1
29,D,HM-D118,35.211,56.009,2.272,0.0231,4.352,142.405,1013.795,12.887,7.873,995.774,1.0264,30.956,1.26,12.016,1
29,E,HM-E441,37.263,49.988,2.773,0.0213,5.288,250.384,1013.49,16.692,6.855,969.608,0.9444,26.185,0.893,14.597,1
29,F,HM-F087,35.894,53.871,2.63,0.021,4.103,242.851,1012.066,14.999,7.674,858.728,1.0469,16.013,1.156,12.19,1
30,A,HM-A104,35.231,58.03,2.749,0.0272,4.509,231.816,1010.543,15.151,6.462,975.302,1.0606,16.162,1.478,11.992,1
30,B,HM-B210,37.909,57.541,2.433,0.0196,3.71,155.64,1010.989,13.336,6.67,930.674,0.9557,23.331,1.541,10.378,1
30,C,HM-C305,35.815,52.28,3.168,0.0222,3.466,215.412,1009.795,13.046,6.183,970.559,0.9988,14.347,1.274,11.331,1
30,D,HM-D118,36.085,49.956,2.73,0.0221,4.614,192.322,1012.161,12.351,7.215,946.338,1.0616,24.08,0.355,10.126,1
30,E,HM-E441,36.566,55.063,3.575,0.0229,4.2,231.049,1014.019,14.889,7.394,945.501,1.0146,26.019,1.324,14.164,1
30,F,HM-F087,34.522,50.757,2.619,0.0161,3.501,172.012,1012.415,11.418,7.101,931.191,1.0302,23.587,1.181,10.761,1
31,A,HM-A104,36.729,51.608,2.583,0.0245,3.762,175.907,1013.217,13.194,6.733,912.0,0.9817,25.209,0.417,13.331,1
31,B,HM-B210,35.508,56.584,2.748,0.0199,4.259,202.071,1012.292,14.654,7.058,988.732,1.0991,25.843,0.266,11.441,1
31,C,HM-C305,35.634,50.82,2.673,0.0304,4.219,178.461,1012.829,13.617,6.278,1032.853,1.068,27.352,0.88,10.7,1
31,D,HM-D118,33.44,56.667,3.206,0.0148,3.787,210.56,1013.808,12.483,7.451,925.361,0.9747,21.257,0.839,10.296,1
31,E,HM-E441,34.985,52.355,2.99,0.0288,4.864,269.43,1013.499,14.742,7.195,922.864,0.98,26.058,0.848,12.651,1
31,F,HM-F087,35.729,54.391,2.296,0.0162,3.845,167.675,1012.978,14.047,7.169,949.028,1.0,18.931,0.509,14.28,1
32,A,HM-A104,34.956,58.911,2.332,0.0198,3.957,214.108,1014.043,12.266,6.935,945.33,1.0257,23.103,1.189,12.552,1
